D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\output_private_256,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.303,0.352,0.684,0.893,0.465,0.412,0.465,
D:\Project\open_source\Structure-preserving-Guided-Retinal-Image-Filtering-master\output_private_256,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.194,0.215,0.671,0.880,0.325,0.278,0.325,
D:\Project\pixelDA_gaussian\results\train240-1_pix2pix_0830_100\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.230,0.320,0.450,0.859,0.374,0.297,0.374,
D:\Project\pixelDA_gaussian\results\train240-1_pix2pix_0830_100\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.184,0.248,0.414,0.851,0.310,0.233,0.310,
D:\research\cataract\public1+private\train240-1_pix2pix_0830_100\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.360,0.426,0.699,0.900,0.530,0.477,0.530,
D:\research\cataract\public1+private\train240-1_pix2pix_0830_100\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.354,0.422,0.688,0.896,0.523,0.469,0.523,
D:\research\cataract\public1+private\train240-5-4_cycle_gan_unpair_0830_100_default\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.338,0.423,0.627,0.891,0.505,0.446,0.505,
D:\research\cataract\public1+private\train240-5-4_cycle_gan_unpair_0830_100_default\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.336,0.425,0.614,0.887,0.503,0.441,0.503,
D:\research\cataract\public1+private\train240-8_pixDA_sobel_0830\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.390,0.479,0.677,0.901,0.561,0.507,0.561,
D:\research\cataract\public1+private\train240-8_pixDA_sobel_0830\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.376,0.460,0.673,0.897,0.546,0.491,0.546,
D:\research\cataract\public1+private\pix2pix_dehaze40_5_1_private_25_unet_l1_100_BV_100\test_latest_iter200\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.388,0.491,0.650,0.898,0.560,0.503,0.560,
D:\research\cataract\public1+private\pix2pix_dehaze40_5_1_private_25_unet_l1_100_BV_100\test_latest_iter200\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.383,0.499,0.623,0.892,0.554,0.494,0.554,
D:\research\cataract\public1+private\fu62_1_1_default\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.410,0.513,0.671,0.903,0.581,0.528,0.581,
D:\research\cataract\public1+private\fu62_1_1_default\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.401,0.524,0.630,0.895,0.572,0.513,0.572,
